FR;EN;DE;ES;CT;IT;RU;PL;UK;AZ;RO;NL;TU;GR;HU;FI;EE;CZ;PT;SW;SR;BU;AR;HR;DN;AL;SK;NO;GE;BL;LT;GA;BH;SV;LV;YI;SC;MK;LA;EU;WA;ML;LU;IS;IR
malheureusement;Sadly;Traurig;Tristemente;Tristament;Purtroppo;grustno;Niestety;Sumno;Teessuf ki;trist;droevig;Ne yazik ki;Dystychos;Sajnos;Valitettavasti;Kurvalt;Bohuzhel;Infelizmente;Tyvarr;Nazhalost;pechalno;Avalioren;Nazhalost;Desvaerre;Mjerisht;smutne;Dessverre ;samts ukharod;Sumna;Li?dnai;Por desgraza;Nazhalost;zhalostno;Skumji;sadli;duilich;Za zhal;it tristis;Tamalez;anffodus;Sfortunatament;Leider;Þvi midhur;Faraor
lentement;slowly;langsam;despacio;lentament;lentamente;medlenno;powoli;povil no;yavas yavas;incet;langzaam;yavasca;arga;lassan;hitaasti;aeglaselt;pomalu;lentamente;langsamt;polako;bavno;dandagh;polako;langsomt;ngadale;pomaly;sakte;nela;pavo?na;l?tai;lentamente;polako;pochasi;l?nam;pamelekh;slaodach;poleka;lente;astiro;araf;bil mod;lues;haegt;mall
egalement;also;ebenfalls;ademas;tambe;anche;takzhe;rowniez;takozh;hemcinin;de asemenea;ook;Ayrica;episis;szinten;myos;ka;taky;Alem disso;ocksa;tako?e;sushto;nuynpes;tako?er;ogsa;gjithashtu;tiezh;ogsa;agretve;taksama;taip pat;tamen;tako?e;tudi;ari;aoykh;cuideachd;isto taka;etiam;halaber;hefyd;ukoll;och;einnig;freisin
parfois;sometimes;manchmal;a veces;de vegades;a volte;inogda;czasami;inodi;bezen;uneori;soms;ara sira;ores ores;neha;joskus;vahel;nekdy;as vezes;ibland;ponekad;ponyakoga;yerbemn;ponekad;Sommetider;ndonjehere;niekedy;noen ganger;zogjer;chasam;kartais;as veces;ponekad;vchasih;dazhreiz;mal;uaireannan;ponekogash;numquam;batzuetan;weithiau;kultant;heiansdo;stundum;uaireanta
encore;again;nochmal;de nuevo;de nou;ancora;ocherednoy raz;jeszcze raz;znovu;yeniden;din nou;opnieuw;tekrar;pali;ujra;uudelleen;jalle;znovu;novamente;om igen;opet;otnovo;norits ;opet;igen;perseri;znovu;en gang til;isev;znou;v?l;de novo;opet;ponovno;atkal;vider;a rithist;povtorno;rursus;berriro;eto;ghal darb ohra;erem;aftur;aris
tellement;so much;so sehr;tanto;tant;così tanto;tak mnogo;tak wiele;Tak bahato;bu qeder;atat de mult;zo veel;cok fazla;toso poly;olyan sok;niin paljon;nii palju;tak moc;muito;smycket;tako mnogo;tolkova mnogo;aydk an shat;tako puno;smeget;kaq shume;tak ve?a;smye;dzalian;tak shmat;tiek daug;tanto;tako puno;zelo;tik daudz;azoy fil;Nh uimhir;mnogu;tantum;asko;cymaint;daqshekk;sou vill;svo mikidh;alan
certainement;certainly;bestimmt;ciertamente;certament;certamente;konechno;na pewno;zvychayno;elbetde;cu siguran?a;zeker;kesinlikle;sigoura;biztosan;varmasti;kindlasti;rozhodne;Certamente;sakert;sigurno;razbira se;anshusht;sigurno;sikkert;sigurisht;iste;sikkert;ra tkma unda;biezumouna;be abejo;certamente;svakako;zagotovo;protams;avade;cinnteach;sekako;certe;zalantzarik;sicr;zgur;secherlech;vissulega;cinnte
probablement;probably;wahrscheinlich;probablemente;probablement;probabilmente;veroyatno;prawdopodobnie;mabut ;yeqin ki;probabil;waarschijnlijk;muhtemelen;pithanos;valoszinuleg;todennakoisesti;ilmselt;pravdepodobne;provavelmente;formodligen;verovatno;veroyatno;havanabar;vjerojatno;sandsynligvis;ndoshta;pravdepodobne;sannsynligvis;albat;napeuna;tikriausiai;probablemente;vjerovatno;verjetno;droshi vien;mstma;is docha;verojatno;verisimile;seguruenik;mae n debyg;probabbilment;wahrscheinlech;liklega;is docha
precisement;precisely;genau;precisamente;precisament;precisamente;tochno;dokladnie;tochno;deqiqlikle;exact;precies;tam;akrivos;pontosan;tarkasti;tapselt;prhesne;precisamente;exakt;tachno;tochno;chshgrit;precizno;praecist;pikerisht;presne;presist;zust ad;dakladna;tiksliai;precisamente;tachno;natanchno;precizi;grad;mionaideach;tochno;pressius;hain zuzen;union;precizament;genau;einmitt;beacht
beaucoup;a lot;viel;mucho;molt;Un sacco;mnogo;duzo;bahato;cox;mult;veel;cok;poly;nagyon;paljon;palju;mnoho;muito;mycket;mnogo;mnogo;shat;puno;en masse;shume;ve?a;mye;bevri;shmat;daug;unha morea;mnogo;veliko;daudz;asakh;torr;mnogu;multum;asko;llawer;hafna;vill;hellingur;alan
souvent;often;haufig;a menudo;sovint;spesso;dovol no chasto;czesto;chasto;tez tez;de multe ori;vaak;siklikla;sychna;gyakran;usein;sageli;chasto;frequentemente;ofta;chesto;chesto;hachakh;chesto;tit;shpesh;chasto;ofte;khshirad;chasta;dazhnai;a miudo;chesto;pogosto;biezhi;oft;tric;chesto;saepe;askotan;aml;spiss;dacks;oft;minic
presque;almost;fast;casi;gairebe;quasi;pochti;prawie;mayzhe;texminen;aproape;bijna;neredeyse;schedon;majdnem;melkein;peaaegu;temerh;quase;nastan;skoro;pochti;gret e;skoro;naesten;pothuajse;takmer;nesten;titkmis;ama?;beveik;case;skoro;skorajda;gandriz;kmet;chmhor;za malku;fere;ia;bron;kwazi;bal;naestum þvi;beagnach
bientôt;soon;bald;pronto;aviat;presto;skoro;wkrotce;skoro;tezlikle;curând;spoedig;yakinda;syntoma;hamar;pian;varsti;jizh brzy;em breve;snart;uskoro;skoro;shutov;uskoro;snart;shpejt;choskoro;snart;male;chutka;netrukus;pronto;uskoro;kmalu;driz;bald;dh aithghearr;naskoro;mox;laster;fuan;dalwaqt;geschwenn;bradhum;luath
cependant;however;jedoch;sin embargo;malgrat aixo;pero;tem ne meniye;jednak;prote;lakin;in orice caz;echter;ancak;ostoso;azonban;kuitenkin;Kuid;nicmene;Contudo;dock;Me?utim;vupreki tova;sakayn;me?utim;imidlertid;megjithate;vshak;men;tumtsa;adnak;vis d?lto;con todo;kako god;vendar;tom?r;ober;ge ta;sepak;autem;ordea;fodd bynnag;madankollu;awer;þo;ach
desormais;from now on;von jetzt an;de ahora en adelante;d ara endavant;da ora in poi;vpred ;od teraz;vidteper;indiden;de acum inainte;van nu af aan;su andan itibaren;apo tora kai sto exis;mostantol;tasta lahtien;nuudsest peale;od te?;de agora em diante;fran och med nu;Od sada;ot sega natatuk;aysuhetev;odsada pa nadalje;fra nu af;tane tutje;odteraz;fra nav;amieridan;z hetaha momantu;nuo dabar;De agora en diante;Od sada;od zdaj naprej;no shi brizha;fun itst aoyf;bho seo a mach;od sega natamu;posthac die;hemendik aurrera;o hymlaen;minn issa l quddiem;Vun elo un;hedhan i fra;as seo amach
davantage;more;Mehr;mas;mes;Di Più;Bol she;wiecej;bil she;daha cox;Mai Mult;meer;Daha;perissotero;tobb;lisaa;rohkem;vice;Mais;Mer;vishe;Poveche;avelin;vishe;mere;me shume;viac;mer;met i;bo?sh;daugiau;mais;vishe;vech;vairak;mer;tuilleadh;povek e;magis;gehiago;mwy;aktar;mei;meira;nios mo
vraiment;really;Ja wirklich;De Verdad;de veritat;veramente;deystvitel no;naprawde;diysno;heqiqeten;intr adevar;werkelijk;Gercekten mi;Pragmatika;igazan;Todella;tõesti;opravdu;realmente;verkligen;stvarno;naistina li;irok ;stvarno;virkelig;vertet;naozaj;egentlig;namdvilad;sapraudy;tikrai;de verdade;stvarno;res;tiesham;take;dha rìribh;navistina;rem;benetan;a dweud y gwir;tassew;wierklech;i alvoru;ndairire
habituellement;habitually;gewohnheitsmassig;por costumbre;habitualment;abitualmente;privychno;zwykle;zvychno;adet;de obicei;gewoon;habitually;synithos;szokas szerint;tavallisesti;tavaliselt;obvykle;habitualmente;vanligtvis;uobichajeno;obichai?no;sovorabar;uobichajeno;saedvanligvis;zakonisht;zvychajne;habitually;chvevad;zvykla;paprastai;habitualmente;uobichajeno;navadno;parasti;geveyntlekh;h abhaisteach;voobichaeno;habitu;ohiko;fel arfer;abitwalment;Gewunnecht;vanalega;de ghnath
regulièrement;regularly;regelmassig;regularmente;regularment;regolarmente;regulyarno;regularnie;rehulyarno;muntezem olaraq;in mod regulat;regelmatig;duzenli olarak;taktika;rendszeresen;saannollisesti;regulaarselt;pravidelne;regularmente;regelbundet;redovno;redovno;kanonavor;regularno;regelmaessigt;rregullisht;pravidelne;jevnlig;regularulad;rehuliarna;reguliariai;regularmente;redovno;redno;regulari;keseyder;cunbhalach;redovno;regularly;aldizka;rheolaidd;regolarment;regelmeisseg;reglulega;rialta
calmement;calmly;ruhig;tranquilamente;amb calma;con calma;spokoyno;spokojnie;spokiyno;sakitce;calm;rustig;sakince;irema;nyugodtan;rauhallisesti;rahulikult;klidne;calmamente;lugnt;mirno;spokoi?no;hangist;mirno;roligt;qetesisht;pokojne;rolig;mshvidad;spakojna;ramiai;con calma;mirno;mirno;mierigi;ruig;socair;smireno;placide;lasai;bwyllog;bil kalma;roueg;logn;socair
tranquillement;quietly;ruhig;tranquilamente;en silenci;tranquillamente;tikho;cicho, spokojnie;tykho;sakitce;in liniste;zachtjes;sessizce;isycha;csendesen;hiljaa;vaikselt;tishe;silenciosamente;tyst;tiho;tikho;hangist;tiho;lige sstille;qete;pokojne;stille;chumad;cicha;tyliai;en silencio;tiho;tiho;klusi;shtil;samhach;tivko;quietly;lasai;dawel;bil kwiet;roueg;hljodhlega;ciuin
jamais;never;noch nie;Nunca;mai;mai;nikogda;nigdy;nikoly;hec vaxt;nu;nooit;asla;pote;soha;ei milloinkaan;mitte kunagi;nikdy;Nunca;aldrig;nikad;nikoga;yerbek ;nikada;aldrig;kurre;nikdy;aldri;arasodes;nikoli;niekada;nunca;nikad;nikoli;nekad;keynmol;riamh;nikogash;numquam;inoiz ez;byth;qatt;ni;aldrei;riamh
partout;all over;uberall;por todas partes;per tot arreu;ovunque;vsyudu;po calym;u vs omu;her sey bitdi;peste tot;voorbij;bastan;pantou;mindenhol;kaikkialla;uleuldse;vshude;por toda parte;overallt;svuda;vsichko svurshi;amboghjy;na sve strane;over hele;kudo;po vshetkom;over alt;mteli;pausiu?;visame;todo;svuda;vsepovsod;visa;iberal;air feadh;nasekade;super omnibus;guztian;ar hyd a lled;ma kullimkien;iwwerall;um allt;ar fud
